18.75,3.93,1.00
8.74,77.43,1.00
28.80,60.95,1.00
14.58,75.56,1.00
62.66,38.76,1.00
86.53,-9.07,1.00
47.22,-35.40,1.00
97.28,-8.48,1.00
96.46,66.61,1.00
19.58,6.06,1.00
39.95,71.79,1.00
87.66,8.64,-1.00
89.22,-17.56,1.00
-61.80,96.21,1.00
40.07,26.72,1.00
-14.39,22.94,1.00
88.89,5.54,1.00
-4.89,40.21,1.00
17.34,4.73,1.00
39.76,48.04,1.00
-24.13,44.93,1.00
66.15,43.55,1.00
71.80,64.12,1.00
-88.26,77.12,1.00
-82.02,89.88,1.00
54.86,32.51,1.00
91.73,3.79,1.00
97.68,-14.30,1.00
99.16,60.81,1.00
70.32,-38.82,1.00
77.96,44.33,1.00
50.69,50.92,-1.00
63.96,65.31,1.00
-9.56,63.27,1.00
61.04,31.07,1.00
59.82,-28.55,1.00
84.24,-49.73,1.00
11.40,52.11,1.00
53.66,82.62,1.00
36.22,39.01,1.00
33.42,7.78,1.00
-8.03,46.48,1.00
98.08,79.67,1.00
94.76,54.39,1.00
45.99,-6.39,1.00
-63.03,70.52,1.00
59.08,54.30,1.00
70.84,1.02,1.00
49.66,-31.38,1.00
-27.07,75.79,1.00
-26.69,85.35,1.00
49.99,35.06,1.00
8.11,61.78,-1.00
60.79,94.21,1.00
55.11,44.34,1.00
86.29,94.53,1.00
49.18,27.52,1.00
62.68,81.94,1.00
92.62,-16.12,1.00
-64.70,91.81,-1.00
32.40,8.28,1.00
-1.86,35.64,1.00
83.62,-21.16,1.00
96.59,72.45,1.00
-9.22,46.94,1.00
-8.01,45.70,-1.00
-82.98,93.59,-1.00
12.54,93.70,1.00
46.24,69.73,1.00
-59.18,85.87,1.00
-53.52,51.51,1.00
-24.74,52.11,1.00
56.50,15.53,1.00
30.55,84.22,1.00
88.16,-55.15,1.00
13.24,72.45,1.00
15.19,92.29,1.00
-0.37,22.36,1.00
-5.29,75.06,1.00
-40.83,68.15,1.00
36.87,14.38,1.00
65.33,43.14,1.00
84.50,62.95,1.00
82.78,17.91,-1.00
59.53,-46.04,1.00
-74.43,73.84,1.00
71.78,96.82,1.00
79.51,32.24,1.00
-65.03,93.98,1.00
-20.73,68.86,1.00
-33.66,69.05,1.00
64.00,-38.21,1.00
71.11,-39.77,1.00
65.66,-14.80,1.00
-48.85,87.88,1.00
-55.26,89.41,1.00
71.91,91.05,1.00
26.75,83.69,1.00
69.70,84.68,1.00
80.23,89.31,1.00
-32.24,38.99,1.00
12.65,-3.58,1.00
78.32,-51.34,1.00
45.06,50.20,1.00
41.84,72.37,1.00
99.25,-25.55,1.00
32.05,47.84,1.00
-1.78,65.16,1.00
-65.55,96.70,1.00
74.85,-50.40,1.00
72.21,76.18,1.00
-19.08,86.05,1.00
39.76,26.04,1.00
94.32,68.73,1.00
49.30,55.28,1.00
-25.59,82.67,1.00
-28.01,87.53,1.00
15.37,28.69,1.00
16.46,57.25,1.00
7.41,39.50,1.00
1.03,32.51,1.00
77.22,-21.99,1.00
37.70,15.46,1.00
-17.80,58.03,1.00
27.95,97.68,1.00
-8.78,29.13,1.00
24.39,-12.26,1.00
1.75,96.93,1.00
27.07,-16.68,1.00
12.06,82.21,1.00
-13.64,32.03,1.00
17.96,63.62,1.00
78.06,-55.65,1.00
5.03,85.52,1.00
-46.89,73.84,1.00
35.49,-28.04,1.00
65.56,-38.62,-1.00
47.91,60.68,1.00
64.01,4.77,1.00
23.57,-2.36,1.00
39.11,94.92,1.00
42.52,0.41,1.00
-34.78,82.43,1.00
29.67,53.57,1.00
89.93,33.45,1.00
21.10,-5.28,-1.00
12.71,7.74,-1.00
61.21,-12.50,1.00
62.96,27.60,1.00
86.46,-39.61,1.00
40.42,2.33,1.00
-44.23,41.67,1.00
79.12,36.07,-1.00
-32.03,52.61,1.00
-55.41,85.73,1.00
66.40,-17.01,1.00
71.36,28.22,1.00
72.07,86.55,1.00
99.37,-47.89,1.00
15.37,12.80,1.00
82.04,-32.91,-1.00
